21.09.2018 открытие;21.09.2018 максимум;21.09.2018 минимум;21.09.2018 закрытие;23.10.2018 открытие;23.10.2018 максимум;23.10.2018 минимум;23.10.2018 закрытие;21.11.2018 открытие;21.11.2018 максимум;21.11.2018 минимум;21.11.2018 закрытие;04.12.2018 открытие;04.12.2018 максимум;04.12.2018 минимум;04.12.2018 закрытие
112690;112780;112470;112580;111650;111650;110500;110630;110310;111340;110310;111310;115150;115470;114920;115170
112580;112590;112350;112480;110630;110700;110540;110640;111300;111400;111170;111290;115180;115220;115020;115150
112500;112550;112480;112530;110650;110870;110630;110840;111290;111350;111210;111210;115150;115190;115100;115160
112540;112630;112540;112590;110850;110850;110670;110670;111220;111290;111170;111200;115160;115200;115050;115050
112600;112650;112520;112600;110680;110820;110650;110660;111210;111320;111170;111310;115050;115110;114910;115110
112620;112740;112580;112710;110660;110790;110640;110780;111310;111320;111230;111270;115080;115130;115000;115080
112720;112960;112710;112940;110780;110830;110710;110740;111270;111280;111140;111160;115070;115140;115050;115120
112940;112950;112860;112910;110740;110840;110710;110800;111160;111180;111110;111180;115110;115140;115030;115060
112910;113090;112900;113010;110810;110850;110500;110600;111180;111250;111180;111230;115070;115080;114970;115010
113010;113060;112930;112980;110590;110630;110540;110580;111240;111280;111210;111280;115000;115020;114940;115010
112960;113080;112870;112870;110580;110650;110540;110580;111280;111340;111210;111240;115000;115040;114970;114990
112880;112920;112860;112910;110590;110710;110570;110710;111240;111360;111220;111350;114980;115020;114960;114980
112910;113030;112880;112880;110710;110790;110680;110720;111350;111470;111350;111470;114990;115060;114990;114990
112880;112960;112870;112930;110720;110870;110700;110850;111470;111490;111380;111380;115000;115010;114920;114930
112920;112950;112820;112910;110840;110920;110820;110880;111380;111430;111360;111380;114930;114940;114820;114860
112900;113000;112840;112860;110890;110900;110820;110900;111380;111430;111330;111350;114860;114930;114810;114890
112880;112960;112880;112950;110910;110930;110820;110840;111360;111380;111270;111310;114890;114960;114870;114940
112930;112940;112850;112870;110850;110900;110800;110870;111320;111330;111230;111260;114930;114940;114870;114910
112880;112880;112790;112830;110870;110920;110810;110840;111260;111330;111250;111320;114890;114930;114870;114920
112830;112900;112780;112860;110840;110900;110830;110900;111330;111370;111310;111360;114920;115000;114900;114990
112850;112920;112840;112910;110900;110920;110810;110890;111360;111460;111360;111370;114990;115020;114900;114980
112900;112900;112810;112840;110890;110890;110800;110860;111360;111410;111320;111330;114990;115000;114920;114960
112830;112840;112790;112800;110870;110910;110800;110870;111340;111430;111320;111390;114950;115030;114910;115010
112820;112920;112800;112890;110870;110960;110750;110950;111390;111460;111370;111390;115010;115090;114980;115070
112890;113040;112890;113020;110960;111080;110930;111040;111390;111430;111380;111410;115060;115100;115020;115020
113030;113040;112920;112960;111030;111050;110890;110910;111410;111410;111330;111330;115020;115090;115000;115030
112980;113020;112960;113010;110900;111060;110900;111060;111340;111370;111310;111340;115020;115110;115020;115070
113000;113140;113000;113100;111060;111090;110990;111040;111340;111380;111330;111360;115070;115080;115000;115000
113100;113280;113090;113230;111040;111070;110980;111020;111370;111400;111360;111370;115000;115020;114960;114980
113220;113230;113150;113190;111040;111040;110980;111000;111370;111430;111370;111420;114980;115010;114960;114970
113190;113200;113110;113200;110990;111170;110970;111130;111430;111520;111370;111510;114980;115010;114940;114990
113190;113240;113130;113130;111120;111170;111080;111120;111520;111600;111510;111590;115000;115000;114980;114990
113130;113150;113040;113150;111110;111170;111080;111140;111600;111750;111570;111690;114990;115050;114990;115040
113160;113180;113090;113120;111140;111210;111140;111200;111690;111740;111660;111670;115040;115050;114940;114980
113120;113150;113080;113150;111200;111220;111150;111170;111680;111770;111670;111740;114980;114990;114880;114900
113160;113180;113050;113070;111180;111200;111130;111170;111750;111800;111670;111690;114900;114940;114870;114930
113060;113100;113000;113010;111180;111200;111140;111170;111690;111700;111640;111650;114930;114960;114920;114950
113000;113050;112940;112960;111160;111200;111120;111140;111640;111670;111630;111630;114950;114980;114930;114970
112950;112970;112870;112880;111140;111180;111120;111180;111630;111670;111630;111650;114970;114980;114930;114980
112880;112950;112870;112880;111170;111170;111090;111090;111650;111690;111640;111670;114980;114990;114940;114940
112890;112890;112810;112850;111090;111110;111060;111080;111670;111700;111640;111650;114940;114970;114900;114970
112860;112910;112810;112860;111070;111100;111050;111100;111640;111720;111640;111680;114960;114980;114930;114970
112850;112880;112810;112870;111090;111150;111060;111090;111670;111700;111660;111680;114970;115010;114940;114970
112860;112910;112850;112880;111080;111120;111020;111040;111680;111680;111470;111470;114970;115030;114940;114960
112880;112890;112760;112780;111030;111100;111020;111020;111470;111570;111460;111480;114960;115000;114940;114960
112780;112800;112690;112700;111020;111040;110870;110910;111480;111540;111470;111540;114950;114960;114900;114930
112720;112770;112690;112740;110900;110970;110880;110920;111530;111590;111520;111590;114940;114980;114920;114950
112740;112790;112730;112790;110930;110960;110870;110940;111590;111660;111540;111580;114940;114970;114910;114970
112790;112800;112720;112760;110940;111010;110930;110940;111600;111630;111560;111570;114970;115020;114960;115010
112780;112820;112760;112800;110930;110930;110870;110870;111570;111610;111570;111610;115010;115060;114970;115000
112790;112810;112710;112710;110890;110900;110850;110880;111590;111610;111550;111560;115010;115020;114960;114960
112710;112730;112680;112680;110880;110920;110850;110870;111560;111570;111520;111520;114970;115020;114970;115020
112680;112750;112660;112750;110870;111000;110870;110980;111520;111520;111400;111420;115010;115030;115000;115020
112730;112840;112730;112830;110980;110980;110920;110930;111420;111530;111420;111490;115020;115020;114930;114930
112830;112880;112810;112860;110950;110990;110930;110930;111500;111530;111470;111490;114930;114980;114910;114930
